Time,Channel A,Channel B
(us),(V),(V)

526.09449375,0.08163702,0.00335704
526.41449375,3.28257100,0.00335704
526.73449375,3.28257100,0.00335704
527.05449374,3.28257100,0.00335704
527.37449374,3.28257100,0.00335704
527.69449374,3.28257100,0.00335704
528.01449374,3.28257100,0.00335704
528.33449374,3.28257100,0.00335704
528.65449373,3.32712800,0.00335704
528.97449373,3.28257100,0.00335704
529.29449373,3.28257100,0.00335704
529.61449373,3.28257100,-0.04119999
529.93449373,3.28257100,0.00335704
530.25449373,3.28257100,0.00335704
530.57449372,3.28257100,0.00335704
530.89449372,3.28257100,0.00335704
531.21449372,3.28257100,0.00335704
531.53449372,0.08163702,0.00335704
531.85449372,0.08163702,0.00335704
532.17449371,0.12604140,0.00335704
532.49449371,0.12604140,0.00335704
532.81449371,0.12604140,0.00335704
533.13449371,0.08163702,0.00335704
533.45449371,0.08163702,0.00335704
533.77449370,0.12604140,0.00335704
534.09449370,0.12604140,0.00335704
534.41449370,0.12604140,0.00335704
534.73449370,0.12604140,0.00335704
535.05449370,0.08163702,0.00335704
535.37449369,0.08163702,0.00335704
535.69449369,0.12604140,0.00335704
536.01449369,0.12604140,0.00335704
536.33449369,0.12604140,0.00335704
536.65449369,3.28257100,0.00335704
536.97449368,3.28257100,0.00335704
537.29449368,3.28257100,0.00335704
537.61449368,3.28257100,0.04791406
537.93449368,3.28257100,0.00335704
538.25449368,3.28257100,0.00335704
538.57449367,3.28257100,0.00335704
538.89449367,3.28257100,0.00335704
539.21449367,3.28257100,0.00335704
539.53449367,3.28257100,0.00335704
539.85449367,3.28257100,0.00335704
540.17449366,3.28257100,0.00335704
540.49449366,3.28257100,0.00335704
540.81449366,3.28257100,0.00335704
541.13449366,3.28257100,0.00335704
541.45449366,0.21500290,3.16721100
541.77449366,0.12604140,3.16721100
542.09449365,0.12604140,3.16721100
542.41449365,0.12604140,3.16721100
542.73449365,0.08163702,3.16721100
543.05449365,0.08163702,3.16721100
543.37449365,0.12604140,3.16721100
543.69449364,0.12604140,3.16721100
544.01449364,0.08163702,3.16721100
544.33449364,0.08163702,3.16721100
544.65449364,0.08163702,3.16721100
544.97449364,0.08163702,3.16721100
545.29449363,0.12604140,3.16721100
545.61449363,0.12604140,3.16721100
545.93449363,0.12604140,3.16721100
546.25449363,0.12604140,3.16721100
546.57449363,0.12604140,3.16721100
546.89449362,0.12604140,3.16721100
547.21449362,0.08163702,3.16721100
547.53449362,0.12604140,3.16721100
547.85449362,0.12604140,3.16721100
548.17449362,0.08163702,3.16721100
548.49449361,0.08163702,3.16721100
548.81449361,0.12604140,3.16721100
549.13449361,0.12604140,3.16721100
549.45449361,0.12604140,3.16721100
549.77449361,0.12604140,3.16721100
550.09449360,0.08163702,3.16721100
550.41449360,0.08163702,3.16721100
550.73449360,0.08163702,3.16721100
551.05449360,0.08163702,3.16721100
551.37449360,0.12604140,3.16721100
551.69449359,3.28257100,3.16721100
552.01449359,3.28257100,3.16721100
552.33449359,3.28257100,3.16721100
552.65449359,3.28257100,3.16721100
